NAME,RADIUS,GM
Sun, 695700e3, 1.3271244004193938e20
Mercury, 2439.7e3, 22032.09e9
Venus, 6051.8e3, 324858.63e9
Earth, 6371.0e3, 398600.440e9
Mars, 3389.5e3, 42828.3e9
Jupiter, 69911e3, 126686511e9
Saturn, 58232e3, 37931207.8e9
Uranus, 25362e3, 5793966e9
Neptune, 24622e3, 6835107e9
Pluto, 1737.4e3, 872.4e9
Luna, 469.7e3, 4902.801076e9
Ceres, 469.7e3, 62.6284e9
Pallas, 272.5e3, 14.3e9
Vesta, 262.7e3, 17.8e9
Hygiea, 203.56e3, 7e9
Ganymede, 2634e3, 9887.83e9
Titan, 2575.5e3, 8978.1356e9
Callisto, 2410.3e3, 7179.29e9